Iteration No,Io,
1,0.0008647157236525259,
2,0.0008721700920198449,
3,0.0008781936106797557,
4,0.0008838593999415599,
5,0.0008955508371398147,
6,0.0009061807177205767,
7,0.0009168632745234857,
8,0.0009276750867580196,
9,0.0009387404513922724,
10,0.0009489670910729313,
11,0.0009591488793248603,
12,0.0009692092291979589,
13,0.000979036039591874,
14,0.000989727558089986,
15,0.001000474669932303,
16,0.0010112877046039794,
17,0.0010221577027719746,
18,0.001032963311908691,
19,0.0010436871666227624,
20,0.0010543038624432656,
21,0.0010648063881348356,
22,0.0010752849837815852,
23,0.0010857357929955683,
24,0.0010939996616845663,
25,0.0011015992762144276,
26,0.0011022918224786453,
27,0.0011025761961875017,
28,0.0010981854949581645,
29,0.0010944690131044386,
30,0.0010908567049474627,
31,0.0010876748368416243,
32,0.0010887809620213516,
33,0.0010899024346571068,
34,0.0010909907615022523,
35,0.0010911206632917955,
36,0.0010870471513126977,
37,0.0010829813522216288,
38,0.0010790350268971532,
39,0.0010760910792600377,
40,0.0010784051449374407,
41,0.0010739601385154611,
42,0.0010763018946931043,
43,0.0010719030410057753,
44,0.0010690898385842353,
45,0.001070983311300248,
46,0.0010715883345960903,
47,0.0010721750451893222,
48,0.0010727626485314739,
49,0.0010686955977766686,
50,0.0010659443906587478,
51,0.0010632476438055395,
52,0.0010605633621486462,
53,0.001062223076438938,
54,0.0010631897465631407,
55,0.0010641337898166273,
56,0.0010646502210943927,
57,0.0010608724412202088,
58,0.0010578028009195508,
59,0.001054815078430537,
60,0.0010522752466643262,
61,0.0010543413517668104,
62,0.0010546340774630712,
63,0.001054918702699985,
64,0.0010552057709982703,
65,0.001050948244815557,
66,0.001048481732855948,
67,0.0010500963456174838,
68,0.0010509248971657765,
69,0.0010517310082310063,
70,0.0010521886076941065,
71,0.001048621015115197,
72,0.0010458590873338909,
73,0.0010431731157724321,
74,0.001040853092534599,
75,0.001043390965968726,
76,0.0010392994773006908,
77,0.001041843424585434,
78,0.0010418293223780407,
79,0.001042411822273071,
80,0.0010429814784875845,
81,0.0010434346013778644,
82,0.001039830592753633,
83,0.0010374576849599454,
84,0.0010351503591443812,
85,0.0010329838897011386,
86,0.0010356386550820034,
87,0.001031698293057127,
88,0.0010343551183706534,
89,0.0010346219963671115,
90,0.0010349370643533877,
91,0.0010352469159935003,
92,0.0010355662658122753,
93,0.0010316981267948935,
94,0.0010296052503068177,
95,0.0010275706525491577,
96,0.0010255514757968364,
97,0.0010286553557611318,
98,0.001025189944267109,
99,0.0010282864680491153,
100,0.0010287619062903327,
101,0.0010293217420555808,
102,0.0010298701102636693,
103,0.0010304252321806017,
104,0.0010270415845724584,
105,0.0010250546606762109,
106,0.0010231230523542543,
107,0.0010221645418523652,
108,0.0010257460195493594,
109,0.001027563226357745,
110,0.001029328694010305,
111,0.001029465700871352,
112,0.0010250856333234068,
113,0.001022476273207385,
114,0.0010199404426220172,
115,0.0010180789741878588,
116,0.0010208163729746873,
117,0.0010209975530339052,
118,0.0010211727154260202,
119,0.0010213392056296201,
120,0.001021366163771787,
121,0.0010174263619381696,
122,0.001020023814040765,
123,0.0010199307233530175,
124,0.0010216145402751789,
125,0.0010271495316168124,
126,0.0010308375521059041,
127,0.0010306496064197007,
128,0.0010288872309652216,
129,0.001023279433995643,
130,0.0010195241122835568,
131,0.0010158461652431082,
132,0.00101407583296774,
133,0.0010162298913662167,
134,0.001017731916618894,
135,0.0010192365381578678,
136,0.0010202554656887767,
137,0.0010173973816901035,
