Iteration No,Io,
1,0.0009024823834112391,
2,0.0009295199734668403,
3,0.0009569871134763965,
4,0.000985278285840139,
5,0.0010413453127095752,
6,0.0010982295478511109,
7,0.0011558026518099678,
8,0.0012126045528192673,
9,0.0012687771047856008,
10,0.001323760806429692,
11,0.0013780317342094483,
12,0.0014298213796666613,
13,0.0014767990403613447,
14,0.001515643022978826,
15,0.0015431967094424411,
16,0.0015579135656399665,
17,0.0015626804950709585,
18,0.0015596232758939988,
19,0.0015502814668981865,
20,0.0015382189663893197,
21,0.0015228122446174477,
22,0.0015055056668545719,
23,0.0014872014951589222,
24,0.001468426933952795,
25,0.0014495015403416405,
26,0.0014306067290301362,
27,0.0014118429690059492,
28,0.0013932344716851225,
29,0.0013748701235619563,
30,0.0013567490897204795,
31,0.001338911681951026,
32,0.001318765166030539,
33,0.0013040449222657179,
34,0.0012870010543986634,
35,0.0012679783932233193,
36,0.001252848395140271,
37,0.0012367683423469824,
38,0.0012207741678375193,
39,0.0012091215780153236,
40,0.0011938924312856803,
41,0.0011753611254442266,
42,0.0011601598253183855,
43,0.001143603338802171,
44,0.001130329385947262,
45,0.001115700809286375,
46,0.001101164201512093,
47,0.0010872312383866677,
48,0.0010738656335766226,
49,0.001062501771717126,
50,0.0010522451924636653,
51,0.0010422976762285083,
52,0.00103259410733377,
53,0.0010231245185461661,
54,0.0010133971885699618,
55,0.0010037524524663523,
56,0.0009943106913564712,
57,0.0009851300952472362,
58,0.0009765346888120752,
59,0.0009681606463555764,
60,0.0009598902815861775,
61,0.0009516520153127204,
62,0.0009431305427448885,
63,0.0009346537104337955,
64,0.0009262804615218952,
65,0.0009179908963356672,
66,0.0009097587433957722,
67,0.0009015477166188017,
68,0.0008933313517287317,
69,0.0008851264969717122,
70,0.0008768825227115412,
71,0.0008686126841109412,
72,0.0008603386347890981,
73,0.000852072627210832,
74,0.0008438901317426256,
75,0.0008358315532410037,
76,0.0008279522744323731,
77,0.0008202579785238741,
78,0.0008108783966111607,
79,0.0008027747277407892,
80,0.0007955587690133328,
81,0.0007889861066089543,
82,0.0007847387246343461,
83,0.0007797060418969941,
84,0.0007741721006961822,
85,0.0007683087784156979,
86,0.0007622124828387626,
87,0.0007559760405931863,
88,0.0007496718561888816,
89,0.0007433699300949598,
90,0.0007371488171571202,
91,0.0007310564621207823,
92,0.0007251076934819802,
93,0.0007192905073536472,
94,0.0007136112266150412,
95,0.0007080590594860643,
96,0.0007026106577864133,
97,0.0006972724677626777,
98,0.0006920258908915353,
99,0.0006868589216561818,
100,0.0006817802228192614,
101,0.0006767762033787436,
102,0.0006718560032393688,
103,0.0006670249599869172,
104,0.0006622694518685577,
105,0.0006575990152376211,
106,0.0006531719953222133,
107,0.0006489225996634213,
108,0.0006446339741145579,
109,0.0006403577572303592,
110,0.0006359389412914406,
111,0.0006314570001043622,
112,0.0006271328562790554,
113,0.0006229176801630569,
114,0.0006188011066337622,
115,0.0006147797287895864,
116,0.000610833124403973,
117,0.0006069593645261607,
118,0.0006031555831633701,
119,0.0005994065079880394,
120,0.0005957213982628361,
121,0.0005920947759411496,
122,0.0005885198194471515,
123,0.0005849980889798584,
124,0.0005815136400182506,
125,0.000578067532319121,
126,0.0005746653245122735,
127,0.0005713030475118291,
128,0.0005679973712184625,
129,0.0005647451271608077,
130,0.0005615453680856514,
131,0.0005583972109482889,
132,0.0005553017379720541,
133,0.0005522488430953893,
134,0.0005492412908800108,
135,0.0005462783511678258,
136,0.0005433557767634145,
137,0.0005404769507263131,
138,0.0005376336650491137,
139,0.0005348109125180422,
140,0.0005320118071642685,
141,0.0005292416235040377,
142,0.0005265048228979747,
143,0.0005238155008924736,
144,0.0005211718568584635,
145,0.0005185642185842669,
146,0.0005159931455965268,
147,0.0005134601417653049,
148,0.0005109620179667755,
149,0.0005085090441815617,
150,0.0005060982189162321,
