Iteration No,Io,
1,0.0008715884468350523,
2,0.0008823551426026207,
3,0.0008924332659978885,
4,0.0009027085761970872,
5,0.0009221443311234474,
6,0.0009402367368883197,
7,0.0009590383797553094,
8,0.0009763127426262663,
9,0.0009944307596438289,
10,0.001012152465480796,
11,0.001028948439295812,
12,0.0010454510521827286,
13,0.001061376520766584,
14,0.001076809433552125,
15,0.0010914720483569324,
16,0.00110652614044293,
17,0.0011202614165884092,
18,0.001134324279246298,
19,0.0011471833309273278,
20,0.0011593665599927386,
21,0.0011711183151630854,
22,0.0011821853807664007,
23,0.0011928095782218207,
24,0.0012027584710434553,
25,0.0012095974495368853,
26,0.0012151730339377313,
27,0.0012176401705023,
28,0.0012186551474895964,
29,0.0012194392083862203,
30,0.0012197559012755786,
31,0.0012200615013223362,
32,0.0012201066825100022,
33,0.001220141553945777,
34,0.0012201357920527073,
35,0.0012201300468691275,
36,0.0012205800558112705,
37,0.001221018564494696,
38,0.0012215270854791034,
39,0.001222023930004369,
40,0.0012224918586263983,
41,0.0012229482038273976,
42,0.0012232277955932921,
43,0.0012234963561553272,
44,0.0012233072517767196,
45,0.0012231289129346948,
46,0.0012231142826621588,
47,0.0012231099063731022,
48,0.0012235803189732137,
49,0.0012240391314890184,
50,0.0012245485801448404,
